LINSSIDDATALOGVER 2.8	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.21:06:22	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	96	-52	20	-89	-41	10	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	20	-90	20	-94	-77	11	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	14	-93	20	-96	-76	11	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	20	-90	20	-98	-85	11	2018/09/14.20:49:59	2018/09/14.21:06:22	"Cisco-Linksys, LLC"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	56	-72	80	-83	-58	38	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:81:AC	36	AP	bgnac	PSK	CCMP	CCMP	5180	20	-90	80	-90	-81	38	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	72	-64	80	-77	-62	46	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	70	-65	80	-66	-47	46	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:59:3C	48	AP		PSK	CCMP	CCMP	5240	20	-110	80	-92	-82	46	2018/09/14.20:49:59	2018/09/14.21:06:13	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	60	-70	80	-76	-60	46	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	58	-71	40	-81	-56	151	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	34	-83	80	-87	-74	151	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	56	-72	80	-85	-60	159	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	52	-74	80	-88	-73	159	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	52	-74	80	-78	-68	159	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	40	-80	80	-88	-80	159	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	60	-70	80	-77	-62	159	2018/09/14.20:49:59	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:8E:88	1	AP	bgn	PSK	CCMP	CCMP	2412	22	-89	20	-94	-73	1	2018/09/14.20:50:05	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	34	-83	20	-87	-75	4	2018/09/14.20:50:05	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	36	-82	20	-92	-78	6	2018/09/14.20:50:09	2018/09/14.21:06:22	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:86:68	6	AP		PSK	CCMP	CCMP	2437	18	-110	20	-94	-85	6	2018/09/14.20:50:09	2018/09/14.21:04:31	"Ruckus Wireless"
2018/09/14.21:06:22	"Directorate"	58:93:96:08:4A:18	5	AP	bgn	PSK	TKIP	CCMP TKIP	2432	52	-74	20	-86	-64	5	2018/09/14.20:50:13	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"DD Office"	00:1E:4A:90:00:20	11	AP	bg	PSK	TKIP	TKIP	2462	54	-73	20	-92	-72	11	2018/09/14.20:50:13	2018/09/14.21:06:22	"Cisco Systems, Inc"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:54:8C	153	AP		PSK	CCMP	CCMP	5765	24	-110	80	-88	-87	151	2018/09/14.20:50:17	2018/09/14.20:51:09	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:A6:8C	36	AP		PSK	CCMP	CCMP	5180	26	-110	80	-93	-87	38	2018/09/14.20:50:21	2018/09/14.21:06:09	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:8B:48	9	AP		PSK	CCMP	CCMP	2452	22	-110	20	-89	-89	9	2018/09/14.20:50:38	2018/09/14.20:51:03	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	94:F6:65:1D:EC:D8	1	AP		PSK	CCMP	CCMP	2412	10	-110	20	-95	-90	1	2018/09/14.20:50:48	2018/09/14.20:55:32	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:54:88	6	AP		PSK	CCMP	CCMP	2437	16	-110	20	-92	-92	6	2018/09/14.20:50:55	2018/09/14.20:51:09	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:78:A8	1	AP		PSK	CCMP	CCMP	2412	20	-110	20	-90	-90	1	2018/09/14.20:51:09	2018/09/14.20:51:09	"Ruckus Wireless"
2018/09/14.21:06:22	"DIRECT-50-HP M427 LaserJet"	42:49:0F:9A:96:50	6	AP	bgn	PSK	CCMP	CCMP	2437	20	-90	20	-93	-83	6	2018/09/14.20:52:42	2018/09/14.21:06:22	"<unrecognized>"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	18	-91	80	-91	-84	159	2018/09/14.20:52:49	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"\x00"	00:1E:4A:8F:FE:30	6	AP	bg				2437	12	-94	20	-97	-80	6	2018/09/14.20:52:53	2018/09/14.21:06:22	"Cisco Systems, Inc"
2018/09/14.21:06:22	"\x00"	00:1E:4A:90:01:70	6	AP	bg				2437	12	-94	20	-96	-85	6	2018/09/14.20:53:10	2018/09/14.21:06:22	"Cisco Systems, Inc"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:A6:38	4	AP	bgn	PSK	CCMP	CCMP	2427	32	-84	20	-93	-76	4	2018/09/14.20:53:53	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:22	"\x00"	00:1E:4A:90:04:30	6	AP	bg				2437	12	-94	20	-97	-89	6	2018/09/14.20:54:53	2018/09/14.21:06:22	"Cisco Systems, Inc"
2018/09/14.21:06:22	"\x00"	00:1E:4A:8F:F5:D0	6	AP	bg				2437	18	-91	20	-96	-84	6	2018/09/14.20:54:57	2018/09/14.21:06:22	"Cisco Systems, Inc"
2018/09/14.21:06:22	"Rakshit"	C8:D7:79:D0:90:D5	7	AP		PSK	CCMP	CCMP	2442	26	-110	20	-87	-77	7	2018/09/14.20:55:04	2018/09/14.20:55:35	"QING DAO HAIER TELECOM CO.,LTD."
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:58:EC	44	AP		PSK	CCMP	CCMP	5220	16	-110	80	-92	-88	46	2018/09/14.20:57:17	2018/09/14.21:04:49	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	D4:68:4D:3E:A6:3C	36	AP		PSK	CCMP	CCMP	5180	24	-110	80	-89	-88	38	2018/09/14.20:59:29	2018/09/14.21:00:36	"Ruckus Wireless"
2018/09/14.21:06:22	"Directorate"	58:93:96:08:4A:1C	36	AP		PSK	TKIP	CCMP TKIP	5180	18	-110	40	-91	-91	38	2018/09/14.21:00:03	2018/09/14.21:00:28	"Ruckus Wireless"
2018/09/14.21:06:22	"TU"	6C:AA:B3:32:24:68	1	AP	bgn	PSK	CCMP	CCMP	2412	12	-94	20	-94	-92	1	2018/09/14.21:05:36	2018/09/14.21:06:22	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-49	20	-68	-49	11	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	96	-52	20	-79	-40	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	58	-71	20	-78	-54	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	86	-57	20	-77	-50	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-93	-47	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	42	-79	20	-89	-72	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:58:E8	1	AP	bgn	PSK	CCMP	CCMP	2412	54	-73	20	-93	-66	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	20	-90	20	-90	-71	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	20	-90	20	-94	-79	1	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8E:38	1	AP		PSK	CCMP	CCMP	2412	16	-110	20	-93	-88	1	2018/09/14.20:49:59	2018/09/14.20:55:57	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	28	-86	20	-89	-67	4	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	84	-58	20	-86	-46	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	88	-56	20	-73	-56	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	62	-69	20	-91	-49	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:81:A8	6	AP	bgn	PSK	CCMP	CCMP	2437	64	-68	20	-87	-54	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	64	-68	20	-92	-48	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	6C:AA:B3:32:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	18	-91	20	-93	-82	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"EACCESS"	6C:AA:B3:72:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	10	-95	20	-95	-82	6	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:77:38	7	AP		PSK	CCMP	CCMP	2442	28	-110	20	-90	-73	7	2018/09/14.20:49:59	2018/09/14.21:05:58	"Ruckus Wireless"
2018/09/14.21:06:26	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	96	-52	20	-89	-41	10	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	22	-89	20	-94	-77	11	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	14	-93	20	-96	-76	11	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	22	-89	20	-98	-85	11	2018/09/14.20:49:59	2018/09/14.21:06:26	"Cisco-Linksys, LLC"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	56	-72	80	-83	-58	38	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:81:AC	36	AP	bgnac	PSK	CCMP	CCMP	5180	20	-90	80	-90	-81	38	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	72	-64	80	-77	-62	46	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	76	-62	80	-66	-47	46	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:59:3C	48	AP		PSK	CCMP	CCMP	5240	20	-110	80	-92	-82	46	2018/09/14.20:49:59	2018/09/14.21:06:13	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	54	-73	80	-76	-60	46	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	58	-71	40	-81	-56	151	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	34	-83	80	-87	-74	151	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	56	-72	80	-85	-60	159	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	52	-74	80	-88	-73	159	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	56	-72	80	-78	-68	159	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	40	-80	80	-88	-80	159	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	58	-71	80	-77	-62	159	2018/09/14.20:49:59	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8E:88	1	AP	bgn	PSK	CCMP	CCMP	2412	22	-89	20	-94	-73	1	2018/09/14.20:50:05	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	34	-83	20	-87	-75	4	2018/09/14.20:50:05	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	34	-83	20	-92	-78	6	2018/09/14.20:50:09	2018/09/14.21:06:26	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:86:68	6	AP		PSK	CCMP	CCMP	2437	18	-110	20	-94	-85	6	2018/09/14.20:50:09	2018/09/14.21:04:31	"Ruckus Wireless"
2018/09/14.21:06:26	"Directorate"	58:93:96:08:4A:18	5	AP	bgn	PSK	TKIP	CCMP TKIP	2432	52	-74	20	-86	-64	5	2018/09/14.20:50:13	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"DD Office"	00:1E:4A:90:00:20	11	AP	bg	PSK	TKIP	TKIP	2462	50	-75	20	-92	-72	11	2018/09/14.20:50:13	2018/09/14.21:06:26	"Cisco Systems, Inc"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:54:8C	153	AP		PSK	CCMP	CCMP	5765	24	-110	80	-88	-87	151	2018/09/14.20:50:17	2018/09/14.20:51:09	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A6:8C	36	AP		PSK	CCMP	CCMP	5180	26	-110	80	-93	-87	38	2018/09/14.20:50:21	2018/09/14.21:06:09	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:8B:48	9	AP		PSK	CCMP	CCMP	2452	22	-110	20	-89	-89	9	2018/09/14.20:50:38	2018/09/14.20:51:03	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	94:F6:65:1D:EC:D8	1	AP		PSK	CCMP	CCMP	2412	10	-110	20	-95	-90	1	2018/09/14.20:50:48	2018/09/14.20:55:32	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:54:88	6	AP		PSK	CCMP	CCMP	2437	16	-110	20	-92	-92	6	2018/09/14.20:50:55	2018/09/14.20:51:09	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:78:A8	1	AP		PSK	CCMP	CCMP	2412	20	-110	20	-90	-90	1	2018/09/14.20:51:09	2018/09/14.20:51:09	"Ruckus Wireless"
2018/09/14.21:06:26	"DIRECT-50-HP M427 LaserJet"	42:49:0F:9A:96:50	6	AP	bgn	PSK	CCMP	CCMP	2437	20	-90	20	-93	-83	6	2018/09/14.20:52:42	2018/09/14.21:06:26	"<unrecognized>"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	18	-91	80	-91	-84	159	2018/09/14.20:52:49	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"\x00"	00:1E:4A:8F:FE:30	6	AP	bg				2437	12	-94	20	-97	-80	6	2018/09/14.20:52:53	2018/09/14.21:06:26	"Cisco Systems, Inc"
2018/09/14.21:06:26	"\x00"	00:1E:4A:90:01:70	6	AP	bg				2437	12	-94	20	-96	-85	6	2018/09/14.20:53:10	2018/09/14.21:06:26	"Cisco Systems, Inc"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A6:38	4	AP	bgn	PSK	CCMP	CCMP	2427	32	-84	20	-93	-76	4	2018/09/14.20:53:53	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:26	"\x00"	00:1E:4A:90:04:30	6	AP	bg				2437	12	-94	20	-97	-89	6	2018/09/14.20:54:53	2018/09/14.21:06:26	"Cisco Systems, Inc"
2018/09/14.21:06:26	"\x00"	00:1E:4A:8F:F5:D0	6	AP	bg				2437	18	-91	20	-96	-84	6	2018/09/14.20:54:57	2018/09/14.21:06:26	"Cisco Systems, Inc"
2018/09/14.21:06:26	"Rakshit"	C8:D7:79:D0:90:D5	7	AP		PSK	CCMP	CCMP	2442	26	-110	20	-87	-77	7	2018/09/14.20:55:04	2018/09/14.20:55:35	"QING DAO HAIER TELECOM CO.,LTD."
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:58:EC	44	AP		PSK	CCMP	CCMP	5220	16	-110	80	-92	-88	46	2018/09/14.20:57:17	2018/09/14.21:04:49	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	D4:68:4D:3E:A6:3C	36	AP		PSK	CCMP	CCMP	5180	24	-110	80	-89	-88	38	2018/09/14.20:59:29	2018/09/14.21:00:36	"Ruckus Wireless"
2018/09/14.21:06:26	"Directorate"	58:93:96:08:4A:1C	36	AP		PSK	TKIP	CCMP TKIP	5180	18	-110	40	-91	-91	38	2018/09/14.21:00:03	2018/09/14.21:00:28	"Ruckus Wireless"
2018/09/14.21:06:26	"TU"	6C:AA:B3:32:24:68	1	AP	bgn	PSK	CCMP	CCMP	2412	12	-94	20	-94	-92	1	2018/09/14.21:05:36	2018/09/14.21:06:26	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-48	20	-68	-48	11	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	96	-52	20	-79	-40	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	60	-70	20	-78	-54	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	86	-57	20	-77	-50	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-93	-47	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	42	-79	20	-89	-72	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:58:E8	1	AP	bgn	PSK	CCMP	CCMP	2412	54	-73	20	-93	-66	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	16	-92	20	-92	-71	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	20	-90	20	-94	-79	1	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:8E:38	1	AP		PSK	CCMP	CCMP	2412	16	-110	20	-93	-88	1	2018/09/14.20:49:59	2018/09/14.20:55:57	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	28	-86	20	-89	-67	4	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	88	-56	20	-86	-46	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	86	-57	20	-73	-56	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	66	-67	20	-91	-49	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:81:A8	6	AP	bgn	PSK	CCMP	CCMP	2437	64	-68	20	-87	-54	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	64	-68	20	-92	-48	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	6C:AA:B3:32:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	18	-91	20	-93	-82	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"EACCESS"	6C:AA:B3:72:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	10	-95	20	-95	-82	6	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:77:38	7	AP		PSK	CCMP	CCMP	2442	28	-110	20	-90	-73	7	2018/09/14.20:49:59	2018/09/14.21:05:58	"Ruckus Wireless"
2018/09/14.21:06:30	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	96	-52	20	-89	-41	10	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
2018/09/14.21:06:30	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	26	-87	20	-94	-77	11	2018/09/14.20:49:59	2018/09/14.21:06:30	"Ruckus Wireless"
